trial,learning_rate,n_steps,ent_coef,net_arch,activation_fn,n_epochs,clip_range,batch_size,survival_rate,mean_return
628,0.0003,2048,0.01,"[128, 128]",Tanh,20,0.2,128,0.73,0.6466
182,0.0001,1024,0.01,"[128, 128]",ReLU,5,0.3,128,0.73,0.7113250000000001
178,0.0001,1024,0.01,"[64, 64]",Tanh,20,0.2,128,0.73,0.664275
637,0.0003,2048,0.01,"[256, 128]",ReLU,20,0.2,128,0.73,0.6671250000000001
175,0.0001,1024,0.01,"[64, 64]",Tanh,10,0.2,128,0.73,0.678175
206,0.0001,1024,0.01,"[256, 128]",ReLU,20,0.3,128,0.73,0.6871
330,0.0003,512,0.005,"[64, 64]",ReLU,20,0.1,128,0.73,0.6856
535,0.0003,1024,0.01,"[256, 128]",Tanh,10,0.2,128,0.73,0.6590375
223,0.0001,2048,0.005,"[64, 64]",ReLU,20,0.2,128,0.73,0.6909125
336,0.0003,512,0.005,"[64, 64]",Tanh,10,0.1,128,0.73,0.6815625
353,0.0003,512,0.005,"[128, 128]",Tanh,5,0.3,128,0.73,0.70655
296,0.0001,2048,0.01,"[128, 128]",ReLU,20,0.3,128,0.73,0.676275
398,0.0003,512,0.01,"[128, 128]",ReLU,5,0.3,128,0.73,0.7201750000000001
402,0.0003,512,0.01,"[128, 128]",ReLU,20,0.1,128,0.73,0.6678999999999999
424,0.0003,512,0.01,"[256, 128]",Tanh,5,0.2,128,0.73,0.683675
427,0.0003,512,0.01,"[256, 128]",Tanh,10,0.2,128,0.73,0.66905
444,0.0003,1024,0.005,"[64, 64]",Tanh,10,0.1,128,0.73,0.6667000000000001
270,0.0001,2048,0.01,"[64, 64]",ReLU,5,0.1,128,0.73,0.7225375
453,0.0003,1024,0.005,"[128, 128]",ReLU,10,0.1,128,0.73,0.663425
263,0.0001,2048,0.005,"[256, 128]",Tanh,5,0.3,128,0.73,0.6964375000000002
334,0.0003,512,0.005,"[64, 64]",Tanh,5,0.2,128,0.73,0.701025
477,0.0003,1024,0.005,"[256, 128]",Tanh,5,0.1,128,0.73,0.6897500000000001
241,0.0001,2048,0.005,"[128, 128]",ReLU,20,0.2,128,0.73,0.6732
